objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587750860901254511,7243,40,2,115,1391,6,112.35149665,-13.96521204,16.286827,15.223455,15.167836,15.207342,15.184773,7.230454E-3,3.045364E-3,3.5033E-3,3.935897E-3,4.913971E-3
587750860901254520,7243,40,2,115,1400,6,112.35248932,-13.96547317,17.283764,15.806847,15.60629,15.569826,15.533397,0.012258,3.4063E-3,3.738911E-3,4.120246E-3,5.582877E-3
587750860901254500,7243,40,2,115,1380,6,112.35812628,-13.96742901,14.505297,13.897161,13.896814,13.956878,14.034987,3.763664E-3,2.785036E-3,3.283998E-3,3.702132E-3,3.699571E-3
587750860901254505,7243,40,2,115,1385,6,112.34750606,-13.96489638,15.739257,14.74027,14.673601,14.703908,14.723537,5.578775E-3,2.966787E-3,3.473904E-3,3.880113E-3,4.291977E-3
587750860901254512,7243,40,2,115,1392,6,112.35462399,-13.96759123,16.60681,15.320488,15.195343,15.209453,15.194077,8.110189E-3,3.140703E-3,3.586978E-3,4.009172E-3,4.877235E-3
587750860901254523,7243,40,2,115,1403,6,112.35162727,-13.96784356,17.47739,15.99718,15.812012,15.774598,15.733389,0.012581,3.428812E-3,3.807092E-3,4.193066E-3,5.939018E-3
587750860901254501,7243,40,2,115,1381,6,112.35913684,-13.96146242,14.823199,14.188818,14.17091,14.222466,14.293117,4.09236E-3,2.870033E-3,3.357554E-3,3.754495E-3,3.895039E-3
587750860901254502,7243,40,2,115,1382,6,112.34760347,-13.97260206,15.06363,14.317204,14.307455,14.374235,14.433526,4.408542E-3,2.908525E-3,3.42829E-3,3.808977E-3,4.026218E-3
587750860901254516,7243,40,2,115,1396,6,112.34502562,-13.96968326,16.536547,15.45891,15.38034,15.404954,15.410044,7.861268E-3,3.209155E-3,3.675809E-3,4.046996E-3,5.252288E-3
587750860901254519,7243,40,2,115,1399,3,112.34424654,-13.97135502,16.900267,15.477002,15.317795,15.315066,15.204089,9.712238E-3,3.040146E-3,3.370731E-3,3.73896E-3,4.923996E-3
587750860901257180,7243,40,2,115,4060,6,112.34587133,-13.96003657,26.855858,22.282236,20.999268,20.309414,19.968084,0.474805,0.117926,0.053902,0.038078,0.11451
587750860901257181,7243,40,2,115,4061,6,112.34486981,-13.96047755,25.086525,22.299423,21.406357,20.738091,20.468449,1.736989,0.119861,0.075886,0.054672,0.17691
587750860901257182,7243,40,2,115,4062,6,112.34600087,-13.95901939,26.62273,26.613815,22.214258,21.481546,20.912867,0.589282,0.351514,0.152865,0.103888,0.259567
587750860901257717,7243,40,2,115,4597,6,112.34402903,-13.96202125,23.764915,23.527199,22.651712,21.154568,20.676889,1.416336,0.338365,0.223222,0.078181,0.211948
587750860901254506,7243,40,2,115,1386,6,112.35482947,-13.97514544,16.893011,15.484565,14.922799,14.697187,14.560147,9.325965E-3,3.228066E-3,3.529168E-3,3.871398E-3,4.116997E-3
587750860901254509,7243,40,2,115,1389,6,112.35741503,-13.97625759,16.034731,15.126538,15.070532,15.110927,15.13774,6.288092E-3,3.054001E-3,3.496612E-3,3.915295E-3,4.772479E-3
587750860901254518,7243,40,2,115,1398,6,112.35635322,-13.95832758,17.256714,15.87571,15.557199,15.455974,15.424005,0.011092,3.300487E-3,3.633703E-3,3.99879E-3,5.264123E-3
587750860901254522,7243,40,2,115,1402,6,112.34463461,-13.97264003,17.378016,15.957589,15.766624,15.756566,15.665316,0.012298,3.437854E-3,3.796188E-3,4.187018E-3,5.848527E-3
587750860901254524,7243,40,2,115,1404,6,112.35377351,-13.97720968,17.803501,16.283794,15.928891,15.804058,15.684822,0.015116,3.635169E-3,3.889338E-3,4.209447E-3,5.838033E-3
587750860901254621,7243,40,2,115,1501,6,112.34274642,-13.95779973,18.175442,16.729906,16.545937,16.504976,16.444344,0.018804,4.009428E-3,4.366462E-3,4.726043E-3,8.330514E-3
587750860901254631,7243,40,2,115,1511,6,112.35312599,-13.95451207,22.350666,21.716375,20.533478,19.793982,19.295223,0.463812,0.072985,0.036732,0.025484,0.064547
587750860901254652,7243,40,2,115,1532,6,112.33957273,-13.96541192,17.093668,15.66819,15.507404,15.475182,15.428948,0.010263,3.259488E-3,3.700872E-3,4.037378E-3,5.295634E-3
587750860901254653,7243,40,2,115,1533,6,112.34150283,-13.96676563,20.548567,19.02939,18.32766,18.001526,17.839556,0.100585,0.010633,8.397037E-3,7.894828E-3,0.020239
587750860901254654,7243,40,2,115,1534,6,112.33951855,-13.96719329,21.970295,19.728981,18.852741,18.446829,18.197878,0.334214,0.016451,0.01126,0.010037,0.026342
587750860901254722,7243,40,2,115,1602,6,112.34056452,-13.96096199,19.475079,18.016903,17.065645,16.946421,17.762629,0.049352,7.343701E-3,5.050919E-3,5.283239E-3,0.021231
587750860901254723,7243,40,2,115,1603,6,112.34157465,-13.96111135,24.60004,21.299084,20.3172,20.001709,19.981327,1.920726,0.061965,0.034091,0.030098,0.11676
587750860901254724,7243,40,2,115,1604,6,112.34247735,-13.96196817,26.28352,24.892193,21.936348,21.098253,20.521049,0.78797,0.738284,0.119307,0.074473,0.184857
587750860901254725,7243,40,2,115,1605,6,112.34119758,-13.96244084,25.69261,25.917053,22.61095,21.280577,20.744062,1.251169,0.578371,0.214447,0.087243,0.224834
587750860901256847,7243,40,2,115,3727,6,112.34640431,-13.95541333,23.855869,21.42062,20.068954,19.483784,19.016666,1.486982,0.056878,0.025616,0.020042,0.050454
587750860901257183,7243,40,2,115,4063,6,112.34410435,-13.96056596,23.456104,25.955332,22.672625,21.809578,21.598127,1.136204,0.568345,0.227346,0.138351,0.45007
587750860901254504,7243,40,2,115,1384,6,112.36309865,-13.97195864,15.433306,14.602379,14.569222,14.626745,14.666285,4.96096E-3,2.879755E-3,3.370302E-3,3.796477E-3,4.190761E-3
587750860901254508,7243,40,2,115,1388,6,112.33984277,-13.970889,17.863058,15.998448,15.133025,14.768476,14.528802,0.015742,3.367629E-3,3.421618E-3,3.645796E-3,4.011359E-3
587750860901254515,7243,40,2,115,1395,3,112.34758891,-13.97904795,16.302019,15.128946,14.957038,14.932524,14.826355,7.281754E-3,2.755033E-3,3.002454E-3,3.197738E-3,4.191625E-3
